,regions,tech,vintage,cost_invest,cost_invest_units,capacity,capacity units
248,CA,C_LT_LUMHE_LB_N,2035,28.356077676240204,M$/giga lumens,7.000000000000001e-06,giga lumens
249,CA,C_LT_LUMHE_LB_N,2040,21.992936381014545,M$/giga lumens,7.000000000000001e-06,giga lumens
250,CA,C_LT_LUMHE_LB_N,2045,21.992936381014545,M$/giga lumens,7.000000000000001e-06,giga lumens
251,CA,C_LT_LUMHE_LB_N,2050,21.992936381014545,M$/giga lumens,7.000000000000001e-06,giga lumens
252,CA,C_LT_LUMHE_LFL_N,2020,27.266089719321144,M$/giga lumens,5e-06,giga lumens
253,CA,C_LT_LUMHE_LFL_N,2025,27.266089719321144,M$/giga lumens,5e-06,giga lumens
254,CA,C_LT_LUMHE_LFL_N,2030,17.763525538511747,M$/giga lumens,5e-06,giga lumens
255,CA,C_LT_LUMHE_LFL_N,2035,17.763525538511747,M$/giga lumens,5e-06,giga lumens
256,CA,C_LT_LUMHE_LFL_N,2040,12.715160264360312,M$/giga lumens,5e-06,giga lumens
257,CA,C_LT_LUMHE_LFL_N,2045,12.715160264360312,M$/giga lumens,5e-06,giga lumens
258,CA,C_LT_LUMHE_LFL_N,2050,12.715160264360312,M$/giga lumens,5e-06,giga lumens
259,CA,C_LT_LUMST_HB_N,2020,31.48505508781413,M$/giga lumens,1.6000000000000003e-05,giga lumens
260,CA,C_LT_LUMST_HB_N,2025,31.48505508781413,M$/giga lumens,1.6000000000000003e-05,giga lumens
261,CA,C_LT_LUMST_HB_N,2030,19.837345435398984,M$/giga lumens,1.6000000000000003e-05,giga lumens
262,CA,C_LT_LUMST_HB_N,2035,19.837345435398984,M$/giga lumens,1.6000000000000003e-05,giga lumens
263,CA,C_LT_LUMST_HB_N,2040,13.647258753365696,M$/giga lumens,1.6000000000000003e-05,giga lumens
264,CA,C_LT_LUMST_HB_N,2045,13.647258753365696,M$/giga lumens,1.6000000000000003e-05,giga lumens
265,CA,C_LT_LUMST_HB_N,2050,13.647258753365696,M$/giga lumens,1.6000000000000003e-05,giga lumens
266,CA,C_LT_LUMST_LB_N,2020,40.00378732865535,M$/giga lumens,7.000000000000001e-06,giga lumens
267,CA,C_LT_LUMST_LB_N,2025,40.00378732865535,M$/giga lumens,7.000000000000001e-06,giga lumens
268,CA,C_LT_LUMST_LB_N,2030,28.356077676240204,M$/giga lumens,7.000000000000001e-06,giga lumens
269,CA,C_LT_LUMST_LB_N,2035,28.356077676240204,M$/giga lumens,7.000000000000001e-06,giga lumens
